scan_index,step,angle_deg,distance_cm
1,6200,184.92,8.4
1,6225,187.12,8.4
1,6250,189.32,8.39
1,6275,191.51,9.28
1,6300,193.71,9.3
1,6325,195.91,10.17
1,6350,198.11,9.88
1,6375,200.3,8.11
1,6400,202.5,7.2
1,6425,204.7,7.2
1,6450,206.89,7.22
1,6475,209.09,7.22
1,6500,211.29,9.0
1,6525,213.49,7.51
1,6550,215.68,7.51
1,6575,217.88,11.35
1,6600,220.08,8.7
1,6625,222.28,7.8
1,6650,224.47,7.8
1,6675,226.67,9.9
1,6700,228.87,9.0
1,6725,231.06,15.02
1,6750,233.26,16.34
1,6775,235.46,10.19
1,6800,237.66,9.3
1,6825,239.85,8.4
1,6850,242.05,8.37
1,6875,244.25,8.4
1,6900,246.45,8.39
1,6925,248.64,8.4
1,6950,250.84,8.39
1,6975,253.04,9.28
1,7000,255.23,10.17
1,7025,257.43,7.2
1,7050,259.63,7.2
1,7075,261.83,8.11
1,7100,264.02,8.11
1,7125,266.22,7.8
1,7150,268.42,7.8
1,7175,270.62,7.8
1,7200,272.81,7.2
1,7225,275.01,7.22
1,7250,277.21,7.2
1,7275,279.4,11.08
1,7300,281.6,8.4
1,7325,283.8,7.49
1,7350,286.0,7.51
1,7375,288.19,10.48
1,7400,290.39,9.59
1,7425,292.59,9.59
1,7450,294.79,8.71
1,7475,296.98,8.68
1,7500,299.18,8.68
1,7525,301.38,8.7
1,7550,303.57,8.71
1,7575,305.77,8.68
1,7600,307.97,9.59
1,7625,310.17,10.48
1,7650,312.36,11.37
1,7675,314.56,8.4
1,7700,316.76,8.4
1,7725,318.96,10.15
1,7750,321.15,8.11
1,7775,323.35,8.09
1,7800,325.55,8.99
1,7825,327.74,6.93
1,7850,329.94,6.89
1,7875,332.14,7.8
1,7900,334.34,7.79
1,7925,336.53,7.79
1,7950,338.73,7.8
1,7975,340.93,7.82
1,8000,343.13,7.8
1,8025,345.32,7.82
1,8050,347.52,7.8
1,8075,349.72,7.8
1,8100,351.91,7.79
1,8125,354.11,7.8
1,8150,356.31,7.82
1,8175,358.51,7.79
2,8200,0.7,11.66
2,8225,2.9,7.79
2,8250,5.1,7.8
2,8275,7.29,7.8
2,8300,9.49,7.8
2,8325,11.69,8.7
2,8350,13.89,8.68
2,8375,16.08,9.57
2,8400,18.28,10.48
2,8425,20.48,11.37
2,8450,22.68,9.3
2,8475,24.87,10.15
2,8500,27.07,9.0
2,8525,29.27,8.99
2,8550,31.46,9.9
2,8575,33.66,7.8
2,8600,35.86,7.8
2,8625,38.06,8.7
2,8650,40.25,7.49
2,8675,42.45,7.51
2,8700,44.65,7.53
2,8725,46.85,7.51
2,8750,49.04,8.39
2,8775,51.24,8.39
2,8800,53.44,9.3
2,8825,55.63,9.3
2,8850,57.83,9.3
2,8875,60.03,9.28
2,8900,62.23,9.26
2,8925,64.42,9.28
2,8950,66.62,9.3
2,8975,68.82,9.28
2,9000,71.02,9.3
2,9025,73.21,10.19
2,9050,75.41,10.19
2,9075,77.61,10.17
2,9100,79.8,16.33
2,9125,82.0,16.33
2,9150,84.2,11.08
2,9175,86.4,11.97
2,9200,88.59,13.75
2,9225,90.79,9.86
2,9250,92.99,9.9
2,9275,95.19,9.9
2,9300,97.38,10.79
2,9325,99.58,8.7
2,9350,101.78,8.71
2,9375,103.97,8.7
2,9400,106.17,9.59
2,9425,108.37,10.48
2,9450,110.57,12.26
2,9475,112.76,8.4
2,9500,114.96,8.4
2,9525,117.16,9.31
2,9550,119.36,9.28
2,9575,121.55,9.3
2,9600,123.75,8.4
2,9625,125.95,8.4
2,9650,128.14,9.28
2,9675,130.34,10.48
2,9700,132.54,9.59
2,9725,134.74,8.71
2,9750,136.93,8.7
2,9775,139.13,8.7
2,9800,141.33,8.7
2,9825,143.53,10.77
2,9850,145.72,10.77
2,9875,147.92,10.77
2,9900,150.12,9.9
2,9925,152.31,9.9
2,9950,154.51,9.88
2,9975,156.71,12.85
2,10000,158.91,15.04
2,10025,161.1,15.02
2,10050,163.3,12.86
2,10075,165.5,11.95
2,10100,167.7,11.95
2,10125,169.89,11.06
2,10150,172.09,11.06
2,10175,174.29,8.99
2,10200,176.48,9.0
2,10225,178.68,8.99
2,10250,180.88,8.09
2,10275,183.08,8.09
2,10300,185.27,8.11
2,10325,187.47,8.11
2,10350,189.67,8.09
2,10375,191.87,8.99
2,10400,194.06,8.4
2,10425,196.26,7.49
2,10450,198.46,10.17
2,10475,200.65,7.8
2,10500,202.85,7.8
2,10525,205.05,9.86
2,10550,207.25,8.99
2,10575,209.44,11.08
2,10600,211.64,9.3
2,10625,213.84,11.37
2,10650,216.04,9.57
2,10675,218.23,8.7
2,10700,220.43,8.68
2,10725,222.63,8.68
2,10750,224.82,10.79
2,10775,227.02,9.9
2,10800,229.22,9.88
2,10825,231.42,9.9
2,10850,233.61,8.99
2,10875,235.81,8.09
2,10900,238.01,8.09
2,10925,240.21,8.08
2,10950,242.4,8.09
2,10975,244.6,8.09
2,11000,246.8,8.09
2,11025,248.99,8.09
2,11050,251.19,8.09
2,11075,253.39,7.8
2,11100,255.59,7.2
2,11125,257.78,7.19
2,11150,259.98,8.09
2,11175,262.18,6.62
2,11200,264.38,6.6
2,11225,266.57,9.28
2,11250,268.77,7.8
2,11275,270.97,7.8
2,11300,273.16,7.82
2,11325,275.36,9.0
2,11350,277.56,8.99
2,11375,279.76,8.09
2,11400,281.95,8.11
2,11425,284.15,16.31
2,11450,286.35,11.1
2,11475,288.54,16.33
2,11500,290.74,16.34
2,11525,292.94,8.09
2,11550,295.14,8.11
2,11575,297.33,8.09
2,11600,299.53,8.09
2,11625,301.73,9.88
2,11650,303.93,6.91
2,11675,306.12,6.91
2,11700,308.32,6.91
2,11725,310.52,7.8
2,11750,312.71,7.49
2,11775,314.91,6.6
2,11800,317.11,6.6
2,11825,319.31,6.6
2,11850,321.5,7.51
2,11875,323.7,7.79
2,11900,325.9,6.91
2,11925,328.1,6.91
2,11950,330.29,6.89
2,11975,332.49,7.8
2,12000,334.69,9.9
2,12025,336.88,9.0
2,12050,339.08,8.99
2,12075,341.28,9.88
2,12100,343.48,9.9
2,12125,345.67,9.88
2,12150,347.87,9.88
2,12175,350.07,10.79
2,12200,352.27,7.8
2,12225,354.46,7.82
2,12250,356.66,7.8
2,12275,358.86,9.6
3,12300,1.05,10.48
3,12325,3.25,8.4
3,12350,5.45,9.28
3,12375,7.65,8.09
3,12400,9.84,8.11
3,12425,12.04,6.91
3,12450,14.24,7.8
3,12475,16.44,8.4
3,12500,18.63,6.6
3,12525,20.83,6.62
3,12550,23.03,6.62
3,12575,25.22,7.49
3,12600,27.42,7.49
3,12625,29.62,7.49
3,12650,31.82,7.51
3,12675,34.01,8.4
3,12700,36.21,8.4
3,12725,38.41,8.4
3,12750,40.61,8.4
3,12775,42.8,9.3
3,12800,45.0,11.06
3,12825,47.2,11.97
3,12850,49.39,8.99
3,12875,51.59,8.99
3,12900,53.79,8.99
3,12925,55.99,9.88
3,12950,58.18,10.75
3,12975,60.38,8.7
