scan_index,step,angle_deg,distance_cm
2,9000,71.02,6.6
2,9025,73.21,7.49
2,9050,75.41,7.49
2,9075,77.61,8.4
2,9100,79.8,8.11
2,9125,82.0,9.0
2,9150,84.2,8.08
2,9175,86.4,7.2
2,9200,88.59,7.19
2,9225,90.79,6.31
2,9250,92.99,6.31
2,9275,95.19,6.31
2,9300,97.38,6.31
2,9325,99.58,6.33
2,9350,101.78,7.2
2,9375,103.97,7.2
2,9400,106.17,7.22
2,9425,108.37,7.22
2,9450,110.57,7.2
2,9475,112.76,8.09
2,9500,114.96,7.8
2,9525,117.16,8.7
2,9550,119.36,7.8
2,9575,121.55,6.91
2,9600,123.75,6.91
2,9625,125.95,6.93
2,9650,128.14,6.91
2,9675,130.34,6.91
2,9700,132.54,6.91
2,9725,134.74,6.89
2,9750,136.93,6.89
2,9775,139.13,6.91
2,9800,141.33,6.91
2,9825,143.53,6.91
2,9850,145.72,6.91
2,9875,147.92,6.91
2,9900,150.12,6.91
2,9925,152.31,6.91
2,9950,154.51,6.91
2,9975,156.71,6.91
2,10000,158.91,6.89
2,10025,161.1,6.91
2,10050,163.3,7.8
2,10075,165.5,7.79
2,10100,167.7,7.8
2,10125,169.89,7.8
2,10150,172.09,7.8
2,10175,174.29,7.8
2,10200,176.48,7.8
2,10225,178.68,7.8
2,10250,180.88,7.8
2,10275,183.08,7.8
2,10300,185.27,6.91
2,10325,187.47,7.8
2,10350,189.67,6.91
2,10375,191.87,6.89
2,10400,194.06,6.91
2,10425,196.26,6.91
2,10450,198.46,6.91
2,10475,200.65,6.91
2,10500,202.85,6.89
2,10525,205.05,6.89
2,10550,207.25,6.91
2,10575,209.44,6.91
2,10600,211.64,6.89
2,10625,213.84,6.91
2,10650,216.04,6.89
2,10675,218.23,6.91
2,10700,220.43,6.91
2,10725,222.63,6.91
2,10750,224.82,6.91
2,10775,227.02,6.91
2,10800,229.22,6.93
2,10825,231.42,6.91
2,10850,233.61,6.91
2,10875,235.81,6.91
2,10900,238.01,6.91
2,10925,240.21,6.91
2,10950,242.4,6.91
2,10975,244.6,6.91
2,11000,246.8,7.8
2,11025,248.99,8.68
2,11050,251.19,7.8
2,11075,253.39,8.08
2,11100,255.59,7.8
2,11125,257.78,8.08
2,11150,259.98,7.2
2,11175,262.18,7.2
2,11200,264.38,7.22
2,11225,266.57,7.2
2,11250,268.77,7.2
2,11275,270.97,6.31
2,11300,273.16,6.33
2,11325,275.36,6.31
2,11350,277.56,6.33
2,11375,279.76,6.31
2,11400,281.95,6.31
2,11425,284.15,6.31
2,11450,286.35,7.2
2,11475,288.54,7.2
2,11500,290.74,7.2
2,11525,292.94,8.99
2,11550,295.14,8.11
2,11575,297.33,8.39
2,11600,299.53,8.11
2,11625,301.73,8.4
2,11650,303.93,7.49
2,11675,306.12,7.51
2,11700,308.32,6.62
2,11725,310.52,6.62
2,11750,312.71,6.62
2,11775,314.91,6.62
2,11800,317.11,6.62
2,11825,319.31,6.6
2,11850,321.5,6.62
2,11875,323.7,6.6
2,11900,325.9,6.6
2,11925,328.1,6.64
2,11950,330.29,6.6
2,11975,332.49,6.62
2,12000,334.69,6.6
2,12025,336.88,6.62
2,12050,339.08,6.62
2,12075,341.28,6.62
2,12100,343.48,6.62
2,12125,345.67,6.62
2,12150,347.87,6.62
2,12175,350.07,8.4
2,12200,352.27,7.49
2,12225,354.46,8.4
2,12250,356.66,7.51
2,12275,358.86,8.4
3,12300,1.05,7.51
3,12325,3.25,8.4
3,12350,5.45,7.49
3,12375,7.65,8.39
3,12400,9.84,7.49
3,12425,12.04,8.4
3,12450,14.24,7.51
3,12475,16.44,8.39
3,12500,18.63,7.51
3,12525,20.83,8.39
3,12550,23.03,7.49
3,12575,25.22,8.4
3,12600,27.42,7.49
3,12625,29.62,8.39
3,12650,31.82,6.62
3,12675,34.01,6.62
3,12700,36.21,6.6
3,12725,38.41,6.62
3,12750,40.61,6.6
3,12775,42.8,6.62
3,12800,45.0,6.62
3,12825,47.2,6.62
3,12850,49.39,6.6
3,12875,51.59,6.62
3,12900,53.79,6.62
3,12925,55.99,6.62
3,12950,58.18,6.62
3,12975,60.38,6.62
3,13000,62.58,6.6
3,13025,64.78,6.62
3,13050,66.97,6.6
3,13075,69.17,6.6
3,13100,71.37,6.62
3,13125,73.56,7.48
3,13150,75.76,7.51
3,13175,77.96,7.49
3,13200,80.16,8.11
3,13225,82.35,8.99
3,13250,84.55,8.09
3,13275,86.75,7.2
3,13300,88.95,7.2
3,13325,91.14,7.22
3,13350,93.34,6.31
3,13375,95.54,6.33
3,13400,97.73,6.31
3,13425,99.93,6.33
3,13450,102.13,7.22
3,13475,104.33,7.2
3,13500,106.52,7.2
3,13525,108.72,7.19
3,13550,110.92,7.2
3,13575,113.12,8.11
3,13600,115.31,7.79
3,13625,117.51,8.7
3,13650,119.71,7.8
3,13675,121.9,6.91
3,13700,124.1,6.91
3,13725,126.3,6.91
3,13750,128.5,6.91
3,13775,130.69,6.89
3,13800,132.89,6.91
3,13825,135.09,6.91
3,13850,137.29,6.91
3,13875,139.48,6.91
3,13900,141.68,6.89
3,13925,143.88,6.91
3,13950,146.07,6.89
3,13975,148.27,6.89
3,14000,150.47,6.91
3,14025,152.67,6.91
3,14050,154.86,6.91
3,14075,157.06,6.91
3,14100,159.26,6.91
3,14125,161.46,6.91
3,14150,163.65,6.91
3,14175,165.85,7.79
3,14200,168.05,7.8
3,14225,170.24,7.79
3,14250,172.44,7.8
3,14275,174.64,7.8
3,14300,176.84,7.8
3,14325,179.03,7.82
3,14350,181.23,7.8
3,14375,183.43,7.79
3,14400,185.63,7.8
3,14425,187.82,7.79
3,14450,190.02,6.91
3,14475,192.22,6.89
3,14500,194.41,6.91
3,14525,196.61,6.89
3,14550,198.81,6.93
3,14575,201.01,6.91
3,14600,203.2,6.91
3,14625,205.4,6.91
3,14650,207.6,6.91
3,14675,209.79,6.91
3,14700,211.99,6.89
3,14725,214.19,6.89
3,14750,216.39,6.91
3,14775,218.58,6.91
3,14800,220.78,6.91
3,14825,222.98,6.91
3,14850,225.18,6.91
3,14875,227.37,6.89
3,14900,229.57,6.89
3,14925,231.77,6.91
3,14950,233.96,6.91
3,14975,236.16,6.89
3,15000,238.36,6.89
3,15025,240.56,6.91
3,15050,242.75,6.91
3,15075,244.95,6.91
3,15100,247.15,7.8
3,15125,249.35,8.7
3,15150,251.54,7.8
3,15175,253.74,8.11
3,15200,255.94,8.08
3,15225,258.13,8.09
3,15250,260.33,7.2
3,15275,262.53,7.2
3,15300,264.73,7.2
3,15325,266.92,7.2
3,15350,269.12,7.2
3,15375,271.32,6.31
3,15400,273.52,6.31
3,15425,275.71,6.31
3,15450,277.91,6.33
3,15475,280.11,6.31
3,15500,282.3,6.31
3,15525,284.5,7.22
3,15550,286.7,7.22
3,15575,288.9,7.2
3,15600,291.09,8.09
3,15625,293.29,8.99
3,15650,295.49,8.09
3,15675,297.69,8.4
3,15700,299.88,7.51
3,15725,302.08,7.51
3,15750,304.28,7.49
3,15775,306.47,6.6
3,15800,308.67,6.6
