scan_index,step,angle_deg,distance_cm
1,6200,184.92,8.09
1,6225,187.12,8.09
1,6250,189.32,8.39
1,6275,191.51,8.4
1,6300,193.71,10.5
1,6325,195.91,8.68
1,6350,198.11,8.71
1,6375,200.3,10.77
1,6400,202.5,9.88
1,6425,204.7,9.9
1,6450,206.89,15.02
1,6475,209.09,16.33
1,6500,211.29,17.63
1,6525,213.49,16.33
1,6550,215.68,10.48
1,6575,217.88,9.6
1,6600,220.08,9.57
1,6625,222.28,9.59
1,6650,224.47,9.59
1,6675,226.67,9.59
1,6700,228.87,9.6
1,6725,231.06,9.59
1,6750,233.26,9.59
1,6775,235.46,9.59
1,6800,237.66,10.48
1,6825,239.85,11.35
1,6850,242.05,17.63
1,6875,244.25,16.33
1,6900,246.45,15.02
1,6925,248.64,9.88
1,6950,250.84,10.77
1,6975,253.04,8.68
1,7000,255.23,8.68
1,7025,257.43,9.57
1,7050,259.63,8.4
1,7075,261.83,8.39
1,7100,264.02,9.9
1,7125,266.22,8.11
1,7150,268.42,8.11
1,7175,270.62,8.99
1,7200,272.81,8.99
1,7225,275.01,8.08
1,7250,277.21,8.08
1,7275,279.4,8.4
1,7300,281.6,8.4
1,7325,283.8,9.59
1,7350,286.0,7.79
1,7375,288.19,10.79
1,7400,290.39,8.99
1,7425,292.59,28.19
1,7450,294.79,27.34
1,7475,296.98,11.37
1,7500,299.18,9.59
1,7525,301.38,8.71
1,7550,303.57,8.71
1,7575,305.77,12.57
1,7600,307.97,11.68
1,7625,310.17,10.77
1,7650,312.36,10.79
1,7675,314.56,10.79
1,7700,316.76,10.77
1,7725,318.96,10.79
1,7750,321.15,10.77
1,7775,323.35,10.77
1,7800,325.55,11.68
1,7825,327.74,11.66
1,7850,329.94,8.7
1,7875,332.14,8.7
1,7900,334.34,8.71
1,7925,336.53,9.59
1,7950,338.73,10.48
1,7975,340.93,8.4
1,8000,343.13,9.28
1,8025,345.32,8.11
1,8050,347.52,8.99
1,8075,349.72,7.8
1,8100,351.91,7.8
1,8125,354.11,7.77
1,8150,356.31,8.4
1,8175,358.51,7.51
2,8200,0.7,7.51
2,8225,2.9,7.49
2,8250,5.1,7.8
2,8275,7.29,7.8
2,8300,9.49,7.79
2,8325,11.69,9.0
2,8350,13.89,8.11
2,8375,16.08,10.19
2,8400,18.28,8.4
2,8425,20.48,10.48
2,8450,22.68,8.7
2,8475,24.87,8.7
2,8500,27.07,11.68
2,8525,29.27,10.77
2,8550,31.46,9.88
2,8575,33.66,16.33
2,8600,35.86,35.74
2,8625,38.06,16.34
2,8650,40.25,16.33
2,8675,42.45,16.34
2,8700,44.65,16.33
2,8725,46.85,16.33
2,8750,49.04,17.61
2,8775,51.24,17.61
2,8800,53.44,17.61
2,8825,55.63,15.02
2,8850,57.83,9.88
2,8875,60.03,10.79
2,8900,62.23,11.66
2,8925,64.42,8.68
2,8950,66.62,9.59
2,8975,68.82,12.28
2,9000,71.02,9.28
2,9025,73.21,11.97
2,9050,75.41,8.11
2,9075,77.61,7.8
2,9100,79.8,7.79
2,9125,82.0,8.7
2,9150,84.2,7.49
2,9175,86.4,7.49
2,9200,88.59,7.48
2,9225,90.79,7.51
2,9250,92.99,7.51
2,9275,95.19,9.3
2,9300,97.38,8.7
2,9325,99.58,7.8
2,9350,101.78,7.82
2,9375,103.97,9.88
2,9400,106.17,9.0
2,9425,108.37,11.08
2,9450,110.57,9.3
2,9475,112.76,11.37
2,9500,114.96,9.57
2,9525,117.16,9.59
2,9550,119.36,8.7
2,9575,121.55,8.68
2,9600,123.75,11.56
2,9625,125.95,11.66
2,9650,128.14,10.77
2,9675,130.34,10.77
2,9700,132.54,10.79
2,9725,134.74,10.77
2,9750,136.93,10.77
2,9775,139.13,11.68
2,9800,141.33,11.66
2,9825,143.53,8.7
2,9850,145.72,8.7
2,9875,147.92,8.7
2,9900,150.12,9.57
2,9925,152.31,17.61
2,9950,154.51,17.61
2,9975,156.71,16.34
2,10000,158.91,8.99
2,10025,161.1,9.88
2,10050,163.3,7.8
2,10075,165.5,8.68
2,10100,167.7,9.59
2,10125,169.89,8.4
2,10150,172.09,9.3
2,10175,174.29,8.08
2,10200,176.48,8.09
2,10225,178.68,8.99
2,10250,180.88,8.99
2,10275,183.08,8.09
2,10300,185.27,8.11
2,10325,187.47,9.9
2,10350,189.67,8.39
2,10375,191.87,12.26
2,10400,194.06,9.57
2,10425,196.26,8.71
2,10450,198.46,8.7
2,10475,200.65,10.79
2,10500,202.85,9.9
2,10525,205.05,13.75
2,10550,207.25,15.04
2,10575,209.44,16.31
2,10600,211.64,17.6
2,10625,213.84,16.31
2,10650,216.04,10.48
2,10675,218.23,9.57
2,10700,220.43,9.59
2,10725,222.63,8.7
2,10750,224.82,8.7
2,10775,227.02,8.68
2,10800,229.22,8.68
2,10825,231.42,9.59
2,10850,233.61,9.59
2,10875,235.81,9.59
2,10900,238.01,10.48
2,10925,240.21,11.37
2,10950,242.4,17.61
2,10975,244.6,15.02
2,11000,246.8,12.85
2,11025,248.99,9.88
2,11050,251.19,10.77
2,11075,253.39,7.8
2,11100,255.59,8.7
2,11125,257.78,9.59
2,11150,259.98,8.39
2,11175,262.18,8.39
2,11200,264.38,8.99
2,11225,266.57,8.11
2,11250,268.77,8.11
2,11275,270.97,8.11
2,11300,273.16,8.11
2,11325,275.36,8.11
2,11350,277.56,9.88
2,11375,279.76,8.39
2,11400,281.95,10.19
2,11425,284.15,8.7
2,11450,286.35,7.79
2,11475,288.54,9.88
2,11500,290.74,8.99
2,11525,292.94,15.02
2,11550,295.14,16.34
2,11575,297.33,10.48
2,11600,299.53,9.57
